,names,firstVsLast,gender,locality1,locality1Names,locality2,locality2Names
5379,fröschl,Lastname,Last,de,german,de_AT,German (Austria)
5380,seebacher,Lastname,Last,de,german,de_AT,German (Austria)
5381,reichl,Lastname,Last,de,german,de_AT,German (Austria)
5382,klotz,Lastname,Last,de,german,de_AT,German (Austria)
5383,uhl,Lastname,Last,de,german,de_AT,German (Austria)
5384,wiener,Lastname,Last,de,german,de_AT,German (Austria)
5385,nowak,Lastname,Last,de,german,de_AT,German (Austria)
5386,linder,Lastname,Last,de,german,de_AT,German (Austria)
5387,haid,Lastname,Last,de,german,de_AT,German (Austria)
5388,huber,Lastname,Last,de,german,de_AT,German (Austria)
5389,traxler,Lastname,Last,de,german,de_AT,German (Austria)
5390,hödl,Lastname,Last,de,german,de_AT,German (Austria)
5391,zeller,Lastname,Last,de,german,de_AT,German (Austria)
5392,kreuzer,Lastname,Last,de,german,de_AT,German (Austria)
5393,kohler,Lastname,Last,de,german,de_AT,German (Austria)
5394,gritsch,Lastname,Last,de,german,de_AT,German (Austria)
5395,rinner,Lastname,Last,de,german,de_AT,German (Austria)
5396,klausner,Lastname,Last,de,german,de_AT,German (Austria)
5397,pühringer,Lastname,Last,de,german,de_AT,German (Austria)
5398,rupp,Lastname,Last,de,german,de_AT,German (Austria)
5399,neumann,Lastname,Last,de,german,de_AT,German (Austria)
5400,oswald,Lastname,Last,de,german,de_AT,German (Austria)
5401,knapp,Lastname,Last,de,german,de_AT,German (Austria)
5402,rieser,Lastname,Last,de,german,de_AT,German (Austria)
5403,steinlechner,Lastname,Last,de,german,de_AT,German (Austria)
5404,thaler,Lastname,Last,de,german,de_AT,German (Austria)
5405,weinberger,Lastname,Last,de,german,de_AT,German (Austria)
5406,rauscher,Lastname,Last,de,german,de_AT,German (Austria)
5407,wild,Lastname,Last,de,german,de_AT,German (Austria)
5408,pöll,Lastname,Last,de,german,de_AT,German (Austria)
5409,radl,Lastname,Last,de,german,de_AT,German (Austria)
5410,unterweger,Lastname,Last,de,german,de_AT,German (Austria)
5411,gasser,Lastname,Last,de,german,de_AT,German (Austria)
5412,bittner,Lastname,Last,de,german,de_AT,German (Austria)
5413,jahn,Lastname,Last,de,german,de_AT,German (Austria)
5414,lampl,Lastname,Last,de,german,de_AT,German (Austria)
5415,baumann,Lastname,Last,de,german,de_AT,German (Austria)
5416,freitag,Lastname,Last,de,german,de_AT,German (Austria)
5417,scherzer,Lastname,Last,de,german,de_AT,German (Austria)
5418,markl,Lastname,Last,de,german,de_AT,German (Austria)
5419,neumüller,Lastname,Last,de,german,de_AT,German (Austria)
5420,forster,Lastname,Last,de,german,de_AT,German (Austria)
5421,lorenz,Lastname,Last,de,german,de_AT,German (Austria)
5422,schatzl,Lastname,Last,de,german,de_AT,German (Austria)
5423,fasching,Lastname,Last,de,german,de_AT,German (Austria)
5424,raab,Lastname,Last,de,german,de_AT,German (Austria)
5425,schubert,Lastname,Last,de,german,de_AT,German (Austria)
5426,gschaider,Lastname,Last,de,german,de_AT,German (Austria)
5427,steidl,Lastname,Last,de,german,de_AT,German (Austria)
5428,feichter,Lastname,Last,de,german,de_AT,German (Austria)
5429,knaus,Lastname,Last,de,german,de_AT,German (Austria)
5430,pucher,Lastname,Last,de,german,de_AT,German (Austria)
5431,wurzer,Lastname,Last,de,german,de_AT,German (Austria)
5432,fritz,Lastname,Last,de,german,de_AT,German (Austria)
5433,meusburger,Lastname,Last,de,german,de_AT,German (Austria)
5434,kraus,Lastname,Last,de,german,de_AT,German (Austria)
5435,oberleitner,Lastname,Last,de,german,de_AT,German (Austria)
5436,eisner,Lastname,Last,de,german,de_AT,German (Austria)
5437,lindorfer,Lastname,Last,de,german,de_AT,German (Austria)
5438,loidl,Lastname,Last,de,german,de_AT,German (Austria)
5439,kunz,Lastname,Last,de,german,de_AT,German (Austria)
5440,pircher,Lastname,Last,de,german,de_AT,German (Austria)
5441,riepl,Lastname,Last,de,german,de_AT,German (Austria)
5442,sattler,Lastname,Last,de,german,de_AT,German (Austria)
5443,jandl,Lastname,Last,de,german,de_AT,German (Austria)
5444,walter,Lastname,Last,de,german,de_AT,German (Austria)
5445,reinthaler,Lastname,Last,de,german,de_AT,German (Austria)
5446,berner,Lastname,Last,de,german,de_AT,German (Austria)
5447,hauser,Lastname,Last,de,german,de_AT,German (Austria)
5448,zach,Lastname,Last,de,german,de_AT,German (Austria)
5449,barth,Lastname,Last,de,german,de_AT,German (Austria)
5450,hummer,Lastname,Last,de,german,de_AT,German (Austria)
5451,weidinger,Lastname,Last,de,german,de_AT,German (Austria)
5452,fuchs,Lastname,Last,de,german,de_AT,German (Austria)
5453,eller,Lastname,Last,de,german,de_AT,German (Austria)
5454,hartl,Lastname,Last,de,german,de_AT,German (Austria)
5455,hochreiter,Lastname,Last,de,german,de_AT,German (Austria)
5456,jäger,Lastname,Last,de,german,de_AT,German (Austria)
5457,brugger,Lastname,Last,de,german,de_AT,German (Austria)
5458,graf,Lastname,Last,de,german,de_AT,German (Austria)
5459,salcher,Lastname,Last,de,german,de_AT,German (Austria)
5460,stock,Lastname,Last,de,german,de_AT,German (Austria)
5461,klingler,Lastname,Last,de,german,de_AT,German (Austria)
5462,hinterleitner,Lastname,Last,de,german,de_AT,German (Austria)
5463,ott,Lastname,Last,de,german,de_AT,German (Austria)
5464,seidl,Lastname,Last,de,german,de_AT,German (Austria)
5465,pacher,Lastname,Last,de,german,de_AT,German (Austria)
5466,kronsteiner,Lastname,Last,de,german,de_AT,German (Austria)
5467,rohrmoser,Lastname,Last,de,german,de_AT,German (Austria)
5468,gschwandtner,Lastname,Last,de,german,de_AT,German (Austria)
5469,windisch,Lastname,Last,de,german,de_AT,German (Austria)
5470,haumer,Lastname,Last,de,german,de_AT,German (Austria)
5471,kriegl,Lastname,Last,de,german,de_AT,German (Austria)
5472,reinisch,Lastname,Last,de,german,de_AT,German (Austria)
5473,schachinger,Lastname,Last,de,german,de_AT,German (Austria)
5474,simon,Lastname,Last,de,german,de_AT,German (Austria)
5475,gangl,Lastname,Last,de,german,de_AT,German (Austria)
5476,kohl,Lastname,Last,de,german,de_AT,German (Austria)
5477,prantl,Lastname,Last,de,german,de_AT,German (Austria)
5478,greiner,Lastname,Last,de,german,de_AT,German (Austria)
5479,mann,Lastname,Last,de,german,de_AT,German (Austria)
5480,lagler,Lastname,Last,de,german,de_AT,German (Austria)
5481,reitinger,Lastname,Last,de,german,de_AT,German (Austria)
5482,krug,Lastname,Last,de,german,de_AT,German (Austria)
5483,schwaiger,Lastname,Last,de,german,de_AT,German (Austria)
5484,haider,Lastname,Last,de,german,de_AT,German (Austria)
5485,grundner,Lastname,Last,de,german,de_AT,German (Austria)
5486,praxmarer,Lastname,Last,de,german,de_AT,German (Austria)
5487,hofmeister,Lastname,Last,de,german,de_AT,German (Austria)
5488,sailer,Lastname,Last,de,german,de_AT,German (Austria)
5489,kober,Lastname,Last,de,german,de_AT,German (Austria)
5490,neuner,Lastname,Last,de,german,de_AT,German (Austria)
5491,sieber,Lastname,Last,de,german,de_AT,German (Austria)
5492,eichberger,Lastname,Last,de,german,de_AT,German (Austria)
5493,oberhauser,Lastname,Last,de,german,de_AT,German (Austria)
5494,oberhofer,Lastname,Last,de,german,de_AT,German (Austria)
5495,hell,Lastname,Last,de,german,de_AT,German (Austria)
5496,kargl,Lastname,Last,de,german,de_AT,German (Austria)
5497,haas,Lastname,Last,de,german,de_AT,German (Austria)
5498,doppler,Lastname,Last,de,german,de_AT,German (Austria)
5499,zechner,Lastname,Last,de,german,de_AT,German (Austria)
5500,holl,Lastname,Last,de,german,de_AT,German (Austria)
5501,fiedler,Lastname,Last,de,german,de_AT,German (Austria)
5502,pröll,Lastname,Last,de,german,de_AT,German (Austria)
5503,dietl,Lastname,Last,de,german,de_AT,German (Austria)
5504,rausch,Lastname,Last,de,german,de_AT,German (Austria)
5505,schweiger,Lastname,Last,de,german,de_AT,German (Austria)
5506,wögerbauer,Lastname,Last,de,german,de_AT,German (Austria)
5507,frisch,Lastname,Last,de,german,de_AT,German (Austria)
5508,landl,Lastname,Last,de,german,de_AT,German (Austria)
5509,wachter,Lastname,Last,de,german,de_AT,German (Austria)
5510,salzmann,Lastname,Last,de,german,de_AT,German (Austria)
5511,scherer,Lastname,Last,de,german,de_AT,German (Austria)
5512,dangl,Lastname,Last,de,german,de_AT,German (Austria)
5513,amann,Lastname,Last,de,german,de_AT,German (Austria)
5514,erlacher,Lastname,Last,de,german,de_AT,German (Austria)
5515,obermüller,Lastname,Last,de,german,de_AT,German (Austria)
5516,leithner,Lastname,Last,de,german,de_AT,German (Austria)
5517,thurner,Lastname,Last,de,german,de_AT,German (Austria)
5518,böhm,Lastname,Last,de,german,de_AT,German (Austria)
5519,reisner,Lastname,Last,de,german,de_AT,German (Austria)
5520,wolf,Lastname,Last,de,german,de_AT,German (Austria)
5521,kolm,Lastname,Last,de,german,de_AT,German (Austria)
5522,kain,Lastname,Last,de,german,de_AT,German (Austria)
5523,kirschner,Lastname,Last,de,german,de_AT,German (Austria)
5524,mühlbacher,Lastname,Last,de,german,de_AT,German (Austria)
5525,kiss,Lastname,Last,de,german,de_AT,German (Austria)
5526,dietrich,Lastname,Last,de,german,de_AT,German (Austria)
5527,stockhammer,Lastname,Last,de,german,de_AT,German (Austria)
5528,lichtenegger,Lastname,Last,de,german,de_AT,German (Austria)
5529,leeb,Lastname,Last,de,german,de_AT,German (Austria)
5530,lehner,Lastname,Last,de,german,de_AT,German (Austria)
5531,hofmann,Lastname,Last,de,german,de_AT,German (Austria)
5532,brandl,Lastname,Last,de,german,de_AT,German (Austria)
5533,kaltenegger,Lastname,Last,de,german,de_AT,German (Austria)
5534,seiwald,Lastname,Last,de,german,de_AT,German (Austria)
5535,seitz,Lastname,Last,de,german,de_AT,German (Austria)
5536,vogl,Lastname,Last,de,german,de_AT,German (Austria)
5537,haindl,Lastname,Last,de,german,de_AT,German (Austria)
5538,veit,Lastname,Last,de,german,de_AT,German (Austria)
5539,pieber,Lastname,Last,de,german,de_AT,German (Austria)
5540,holzer,Lastname,Last,de,german,de_AT,German (Austria)
5541,froschauer,Lastname,Last,de,german,de_AT,German (Austria)
5542,hausberger,Lastname,Last,de,german,de_AT,German (Austria)
5543,schwarzl,Lastname,Last,de,german,de_AT,German (Austria)
5544,blauensteiner,Lastname,Last,de,german,de_AT,German (Austria)
5545,urban,Lastname,Last,de,german,de_AT,German (Austria)
5546,salzer,Lastname,Last,de,german,de_AT,German (Austria)
5547,ernst,Lastname,Last,de,german,de_AT,German (Austria)
5548,bäck,Lastname,Last,de,german,de_AT,German (Austria)
5549,köck,Lastname,Last,de,german,de_AT,German (Austria)
5550,sauer,Lastname,Last,de,german,de_AT,German (Austria)
5551,sturm,Lastname,Last,de,german,de_AT,German (Austria)
5552,pock,Lastname,Last,de,german,de_AT,German (Austria)
5553,schimpl,Lastname,Last,de,german,de_AT,German (Austria)
5554,schantl,Lastname,Last,de,german,de_AT,German (Austria)
5555,widmann,Lastname,Last,de,german,de_AT,German (Austria)
5556,wittmann,Lastname,Last,de,german,de_AT,German (Austria)
5557,trummer,Lastname,Last,de,german,de_AT,German (Austria)
5558,muhr,Lastname,Last,de,german,de_AT,German (Austria)
5559,brandstätter,Lastname,Last,de,german,de_AT,German (Austria)
5560,vogel,Lastname,Last,de,german,de_AT,German (Austria)
5561,eibl,Lastname,Last,de,german,de_AT,German (Austria)
5562,hahn,Lastname,Last,de,german,de_AT,German (Austria)
5563,holzmann,Lastname,Last,de,german,de_AT,German (Austria)
5564,pfister,Lastname,Last,de,german,de_AT,German (Austria)
5565,trimmel,Lastname,Last,de,german,de_AT,German (Austria)
5566,schmied,Lastname,Last,de,german,de_AT,German (Austria)
5567,hinteregger,Lastname,Last,de,german,de_AT,German (Austria)
5568,helm,Lastname,Last,de,german,de_AT,German (Austria)
5569,beck,Lastname,Last,de,german,de_AT,German (Austria)
5570,neugebauer,Lastname,Last,de,german,de_AT,German (Austria)
5571,jank,Lastname,Last,de,german,de_AT,German (Austria)
5572,rabl,Lastname,Last,de,german,de_AT,German (Austria)
5573,huemer,Lastname,Last,de,german,de_AT,German (Austria)
5574,schreiner,Lastname,Last,de,german,de_AT,German (Austria)
5575,schauer,Lastname,Last,de,german,de_AT,German (Austria)
5576,kurz,Lastname,Last,de,german,de_AT,German (Austria)
5577,reiter,Lastname,Last,de,german,de_AT,German (Austria)
5578,jung,Lastname,Last,de,german,de_AT,German (Austria)
5579,schöberl,Lastname,Last,de,german,de_AT,German (Austria)
5580,kummer,Lastname,Last,de,german,de_AT,German (Austria)
5581,gassner,Lastname,Last,de,german,de_AT,German (Austria)
5582,klinger,Lastname,Last,de,german,de_AT,German (Austria)
5583,arnold,Lastname,Last,de,german,de_AT,German (Austria)
5584,schartner,Lastname,Last,de,german,de_AT,German (Austria)
5585,peer,Lastname,Last,de,german,de_AT,German (Austria)
5586,reisinger,Lastname,Last,de,german,de_AT,German (Austria)
5587,zimmermann,Lastname,Last,de,german,de_AT,German (Austria)
5588,feigl,Lastname,Last,de,german,de_AT,German (Austria)
5589,friedl,Lastname,Last,de,german,de_AT,German (Austria)
5590,knoll,Lastname,Last,de,german,de_AT,German (Austria)
5591,hirschmann,Lastname,Last,de,german,de_AT,German (Austria)
5592,dallinger,Lastname,Last,de,german,de_AT,German (Austria)
5593,walch,Lastname,Last,de,german,de_AT,German (Austria)
5594,steiner,Lastname,Last,de,german,de_AT,German (Austria)
5595,auinger,Lastname,Last,de,german,de_AT,German (Austria)
5596,pfeifer,Lastname,Last,de,german,de_AT,German (Austria)
5597,stadlbauer,Lastname,Last,de,german,de_AT,German (Austria)
5598,riedl,Lastname,Last,de,german,de_AT,German (Austria)
5599,kalcher,Lastname,Last,de,german,de_AT,German (Austria)
5600,gartner,Lastname,Last,de,german,de_AT,German (Austria)
5601,pendl,Lastname,Last,de,german,de_AT,German (Austria)
5602,mörth,Lastname,Last,de,german,de_AT,German (Austria)
5603,mathis,Lastname,Last,de,german,de_AT,German (Austria)
5604,achleitner,Lastname,Last,de,german,de_AT,German (Austria)
5605,ritter,Lastname,Last,de,german,de_AT,German (Austria)
5606,hutter,Lastname,Last,de,german,de_AT,German (Austria)
5607,frank,Lastname,Last,de,german,de_AT,German (Austria)
5608,steinacher,Lastname,Last,de,german,de_AT,German (Austria)
5609,bichler,Lastname,Last,de,german,de_AT,German (Austria)
5610,sommer,Lastname,Last,de,german,de_AT,German (Austria)
5611,haiden,Lastname,Last,de,german,de_AT,German (Austria)
5612,hufnagl,Lastname,Last,de,german,de_AT,German (Austria)
5613,häusler,Lastname,Last,de,german,de_AT,German (Austria)
5614,mayer,Lastname,Last,de,german,de_AT,German (Austria)
5615,stelzl,Lastname,Last,de,german,de_AT,German (Austria)
5616,wimmer,Lastname,Last,de,german,de_AT,German (Austria)
5617,wiesinger,Lastname,Last,de,german,de_AT,German (Austria)
5618,schalk,Lastname,Last,de,german,de_AT,German (Austria)
5619,gratzl,Lastname,Last,de,german,de_AT,German (Austria)
5620,blum,Lastname,Last,de,german,de_AT,German (Austria)
5621,klement,Lastname,Last,de,german,de_AT,German (Austria)
5622,wegscheider,Lastname,Last,de,german,de_AT,German (Austria)
5623,lettner,Lastname,Last,de,german,de_AT,German (Austria)
5624,lamprecht,Lastname,Last,de,german,de_AT,German (Austria)
5625,lengauer,Lastname,Last,de,german,de_AT,German (Austria)
5626,wirth,Lastname,Last,de,german,de_AT,German (Austria)
5627,fabian,Lastname,Last,de,german,de_AT,German (Austria)
5628,höglinger,Lastname,Last,de,german,de_AT,German (Austria)
5629,zöhrer,Lastname,Last,de,german,de_AT,German (Austria)
5630,strohmeier,Lastname,Last,de,german,de_AT,German (Austria)
5631,meier,Lastname,Last,de,german,de_AT,German (Austria)
5632,eisl,Lastname,Last,de,german,de_AT,German (Austria)
5633,ladner,Lastname,Last,de,german,de_AT,German (Austria)
5634,danner,Lastname,Last,de,german,de_AT,German (Austria)
5635,seiser,Lastname,Last,de,german,de_AT,German (Austria)
5636,unterberger,Lastname,Last,de,german,de_AT,German (Austria)
5637,müller,Lastname,Last,de,german,de_AT,German (Austria)
5638,karner,Lastname,Last,de,german,de_AT,German (Austria)
5639,erler,Lastname,Last,de,german,de_AT,German (Austria)
5640,heinzl,Lastname,Last,de,german,de_AT,German (Austria)
5641,zauner,Lastname,Last,de,german,de_AT,German (Austria)
5642,pinter,Lastname,Last,de,german,de_AT,German (Austria)
5643,stückler,Lastname,Last,de,german,de_AT,German (Austria)
5644,herzog,Lastname,Last,de,german,de_AT,German (Austria)
5645,pammer,Lastname,Last,de,german,de_AT,German (Austria)
5646,mandl,Lastname,Last,de,german,de_AT,German (Austria)
5647,grüner,Lastname,Last,de,german,de_AT,German (Austria)
5648,mitteregger,Lastname,Last,de,german,de_AT,German (Austria)
5649,grasser,Lastname,Last,de,german,de_AT,German (Austria)
5650,stöckl,Lastname,Last,de,german,de_AT,German (Austria)
5651,adam,Lastname,Last,de,german,de_AT,German (Austria)
5652,wieland,Lastname,Last,de,german,de_AT,German (Austria)
5653,egger,Lastname,Last,de,german,de_AT,German (Austria)
5654,bräuer,Lastname,Last,de,german,de_AT,German (Austria)
5655,nagl,Lastname,Last,de,german,de_AT,German (Austria)
5656,engel,Lastname,Last,de,german,de_AT,German (Austria)
5657,wieser,Lastname,Last,de,german,de_AT,German (Austria)
5658,löffler,Lastname,Last,de,german,de_AT,German (Austria)
5659,stocker,Lastname,Last,de,german,de_AT,German (Austria)
5660,ferstl,Lastname,Last,de,german,de_AT,German (Austria)
5661,stelzer,Lastname,Last,de,german,de_AT,German (Austria)
5662,geier,Lastname,Last,de,german,de_AT,German (Austria)
5663,macher,Lastname,Last,de,german,de_AT,German (Austria)
5664,prem,Lastname,Last,de,german,de_AT,German (Austria)
5665,kellner,Lastname,Last,de,german,de_AT,German (Austria)
5666,hofstetter,Lastname,Last,de,german,de_AT,German (Austria)
5667,sonnleitner,Lastname,Last,de,german,de_AT,German (Austria)
5668,paul,Lastname,Last,de,german,de_AT,German (Austria)
5669,schlosser,Lastname,Last,de,german,de_AT,German (Austria)
5670,rauter,Lastname,Last,de,german,de_AT,German (Austria)
5671,scheer,Lastname,Last,de,german,de_AT,German (Austria)
5672,aigner,Lastname,Last,de,german,de_AT,German (Austria)
5673,foidl,Lastname,Last,de,german,de_AT,German (Austria)
5674,wurm,Lastname,Last,de,german,de_AT,German (Austria)
5675,leutgeb,Lastname,Last,de,german,de_AT,German (Austria)
5676,himmelbauer,Lastname,Last,de,german,de_AT,German (Austria)
5677,bayer,Lastname,Last,de,german,de_AT,German (Austria)
5678,horn,Lastname,Last,de,german,de_AT,German (Austria)
5679,loibl,Lastname,Last,de,german,de_AT,German (Austria)
5680,baumgartner,Lastname,Last,de,german,de_AT,German (Austria)
5681,grill,Lastname,Last,de,german,de_AT,German (Austria)
5682,dorfer,Lastname,Last,de,german,de_AT,German (Austria)
5683,nagele,Lastname,Last,de,german,de_AT,German (Austria)
5684,müllner,Lastname,Last,de,german,de_AT,German (Austria)
5685,held,Lastname,Last,de,german,de_AT,German (Austria)
5686,schranz,Lastname,Last,de,german,de_AT,German (Austria)
5687,geisler,Lastname,Last,de,german,de_AT,German (Austria)
5688,neumayer,Lastname,Last,de,german,de_AT,German (Austria)
5689,rosenberger,Lastname,Last,de,german,de_AT,German (Austria)
5690,wiesner,Lastname,Last,de,german,de_AT,German (Austria)
5691,maier,Lastname,Last,de,german,de_AT,German (Austria)
5692,jungwirth,Lastname,Last,de,german,de_AT,German (Austria)
5693,pfleger,Lastname,Last,de,german,de_AT,German (Austria)
5694,suppan,Lastname,Last,de,german,de_AT,German (Austria)
5695,steurer,Lastname,Last,de,german,de_AT,German (Austria)
5696,ullmann,Lastname,Last,de,german,de_AT,German (Austria)
5697,luger,Lastname,Last,de,german,de_AT,German (Austria)
5698,spiegl,Lastname,Last,de,german,de_AT,German (Austria)
5699,kronberger,Lastname,Last,de,german,de_AT,German (Austria)
5700,brunner,Lastname,Last,de,german,de_AT,German (Austria)
5701,schrammel,Lastname,Last,de,german,de_AT,German (Austria)
5702,haberl,Lastname,Last,de,german,de_AT,German (Austria)
5703,kitzler,Lastname,Last,de,german,de_AT,German (Austria)
5704,schiestl,Lastname,Last,de,german,de_AT,German (Austria)
5705,schweitzer,Lastname,Last,de,german,de_AT,German (Austria)
5706,winkler,Lastname,Last,de,german,de_AT,German (Austria)
5707,fellinger,Lastname,Last,de,german,de_AT,German (Austria)
5708,steinberger,Lastname,Last,de,german,de_AT,German (Austria)
5709,schneider,Lastname,Last,de,german,de_AT,German (Austria)
5710,brandner,Lastname,Last,de,german,de_AT,German (Austria)
5711,petz,Lastname,Last,de,german,de_AT,German (Austria)
5712,burtscher,Lastname,Last,de,german,de_AT,German (Austria)
5713,lerch,Lastname,Last,de,german,de_AT,German (Austria)
5714,karl,Lastname,Last,de,german,de_AT,German (Austria)
5715,zeilinger,Lastname,Last,de,german,de_AT,German (Austria)
5716,feichtenschlager,Lastname,Last,de,german,de_AT,German (Austria)
5717,gollner,Lastname,Last,de,german,de_AT,German (Austria)
5718,gabriel,Lastname,Last,de,german,de_AT,German (Austria)
5719,siegl,Lastname,Last,de,german,de_AT,German (Austria)
5720,gross,Lastname,Last,de,german,de_AT,German (Austria)
5721,werner,Lastname,Last,de,german,de_AT,German (Austria)
5722,langer,Lastname,Last,de,german,de_AT,German (Austria)
5723,fritsch,Lastname,Last,de,german,de_AT,German (Austria)
5724,sammer,Lastname,Last,de,german,de_AT,German (Austria)
5725,kirchner,Lastname,Last,de,german,de_AT,German (Austria)
5726,hacker,Lastname,Last,de,german,de_AT,German (Austria)
5727,feichtner,Lastname,Last,de,german,de_AT,German (Austria)
5728,ludwig,Lastname,Last,de,german,de_AT,German (Austria)
5729,frick,Lastname,Last,de,german,de_AT,German (Austria)
5730,paier,Lastname,Last,de,german,de_AT,German (Austria)
5731,grünwald,Lastname,Last,de,german,de_AT,German (Austria)
5732,schönberger,Lastname,Last,de,german,de_AT,German (Austria)
5733,kammerer,Lastname,Last,de,german,de_AT,German (Austria)
5734,heger,Lastname,Last,de,german,de_AT,German (Austria)
5735,fehringer,Lastname,Last,de,german,de_AT,German (Austria)
5736,pöschl,Lastname,Last,de,german,de_AT,German (Austria)
5737,fercher,Lastname,Last,de,german,de_AT,German (Austria)
5738,plank,Lastname,Last,de,german,de_AT,German (Austria)
5739,rottensteiner,Lastname,Last,de,german,de_AT,German (Austria)
5740,wilhelm,Lastname,Last,de,german,de_AT,German (Austria)
5741,neureiter,Lastname,Last,de,german,de_AT,German (Austria)
5742,pohl,Lastname,Last,de,german,de_AT,German (Austria)
5743,röck,Lastname,Last,de,german,de_AT,German (Austria)
5744,scherr,Lastname,Last,de,german,de_AT,German (Austria)
5745,tanzer,Lastname,Last,de,german,de_AT,German (Austria)
5746,baier,Lastname,Last,de,german,de_AT,German (Austria)
5747,zangerl,Lastname,Last,de,german,de_AT,German (Austria)
5748,lang,Lastname,Last,de,german,de_AT,German (Austria)
5749,höller,Lastname,Last,de,german,de_AT,German (Austria)
5750,deutschmann,Lastname,Last,de,german,de_AT,German (Austria)
5751,feichtinger,Lastname,Last,de,german,de_AT,German (Austria)
5752,leitner,Lastname,Last,de,german,de_AT,German (Austria)
5753,fichtinger,Lastname,Last,de,german,de_AT,German (Austria)
5754,hosp,Lastname,Last,de,german,de_AT,German (Austria)
5755,höfler,Lastname,Last,de,german,de_AT,German (Austria)
5756,sagmeister,Lastname,Last,de,german,de_AT,German (Austria)
5757,fink,Lastname,Last,de,german,de_AT,German (Austria)
5758,moosbrugger,Lastname,Last,de,german,de_AT,German (Austria)
5759,reiner,Lastname,Last,de,german,de_AT,German (Austria)
5760,mayr,Lastname,Last,de,german,de_AT,German (Austria)
5761,schwarz,Lastname,Last,de,german,de_AT,German (Austria)
5762,kirchmair,Lastname,Last,de,german,de_AT,German (Austria)
5763,dengg,Lastname,Last,de,german,de_AT,German (Austria)
5764,hölzl,Lastname,Last,de,german,de_AT,German (Austria)
5765,haller,Lastname,Last,de,german,de_AT,German (Austria)
5766,schwaighofer,Lastname,Last,de,german,de_AT,German (Austria)
5767,pirker,Lastname,Last,de,german,de_AT,German (Austria)
5768,brenner,Lastname,Last,de,german,de_AT,German (Austria)
5769,köberl,Lastname,Last,de,german,de_AT,German (Austria)
5770,schiefer,Lastname,Last,de,german,de_AT,German (Austria)
5771,kerschbaumer,Lastname,Last,de,german,de_AT,German (Austria)
5772,hirsch,Lastname,Last,de,german,de_AT,German (Austria)
5773,reicher,Lastname,Last,de,german,de_AT,German (Austria)
5774,hollaus,Lastname,Last,de,german,de_AT,German (Austria)
5775,wöhrer,Lastname,Last,de,german,de_AT,German (Austria)
5776,punz,Lastname,Last,de,german,de_AT,German (Austria)
5777,kopf,Lastname,Last,de,german,de_AT,German (Austria)
5778,janisch,Lastname,Last,de,german,de_AT,German (Austria)
5779,oberndorfer,Lastname,Last,de,german,de_AT,German (Austria)
5780,reichel,Lastname,Last,de,german,de_AT,German (Austria)
5781,fankhauser,Lastname,Last,de,german,de_AT,German (Austria)
5782,ofner,Lastname,Last,de,german,de_AT,German (Austria)
5783,pointner,Lastname,Last,de,german,de_AT,German (Austria)
5784,buchinger,Lastname,Last,de,german,de_AT,German (Austria)
5785,eberharter,Lastname,Last,de,german,de_AT,German (Austria)
5786,draxler,Lastname,Last,de,german,de_AT,German (Austria)
5787,schöffmann,Lastname,Last,de,german,de_AT,German (Austria)
5788,steinbacher,Lastname,Last,de,german,de_AT,German (Austria)
5789,schwab,Lastname,Last,de,german,de_AT,German (Austria)
5790,singer,Lastname,Last,de,german,de_AT,German (Austria)
5791,hebenstreit,Lastname,Last,de,german,de_AT,German (Austria)
5792,guggenberger,Lastname,Last,de,german,de_AT,German (Austria)
5793,gahleitner,Lastname,Last,de,german,de_AT,German (Austria)
5794,krall,Lastname,Last,de,german,de_AT,German (Austria)
5795,fleischhacker,Lastname,Last,de,german,de_AT,German (Austria)
5796,neulinger,Lastname,Last,de,german,de_AT,German (Austria)
5797,vogt,Lastname,Last,de,german,de_AT,German (Austria)
5798,glatz,Lastname,Last,de,german,de_AT,German (Austria)
5799,prager,Lastname,Last,de,german,de_AT,German (Austria)
5800,dirnberger,Lastname,Last,de,german,de_AT,German (Austria)
5801,obermayr,Lastname,Last,de,german,de_AT,German (Austria)
5802,rössler,Lastname,Last,de,german,de_AT,German (Austria)
5803,krainz,Lastname,Last,de,german,de_AT,German (Austria)
5804,eichinger,Lastname,Last,de,german,de_AT,German (Austria)
5805,riegler,Lastname,Last,de,german,de_AT,German (Austria)
5806,bitschnau,Lastname,Last,de,german,de_AT,German (Austria)
5807,friedrich,Lastname,Last,de,german,de_AT,German (Austria)
5808,beer,Lastname,Last,de,german,de_AT,German (Austria)
5809,tiefenbacher,Lastname,Last,de,german,de_AT,German (Austria)
5810,kern,Lastname,Last,de,german,de_AT,German (Austria)
5811,yilmaz,Lastname,Last,de,german,de_AT,German (Austria)
5812,schwarzinger,Lastname,Last,de,german,de_AT,German (Austria)
5813,biedermann,Lastname,Last,de,german,de_AT,German (Austria)
5814,puntigam,Lastname,Last,de,german,de_AT,German (Austria)
5815,leitgeb,Lastname,Last,de,german,de_AT,German (Austria)
5816,steiger,Lastname,Last,de,german,de_AT,German (Austria)
5817,pfeiffer,Lastname,Last,de,german,de_AT,German (Austria)
5818,penz,Lastname,Last,de,german,de_AT,German (Austria)
5819,lutz,Lastname,Last,de,german,de_AT,German (Austria)
5820,kraft,Lastname,Last,de,german,de_AT,German (Austria)
5821,freudenthaler,Lastname,Last,de,german,de_AT,German (Austria)
5822,maringer,Lastname,Last,de,german,de_AT,German (Austria)
